property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,vatika gurgaon,sector 83,1.19,7437.0,3,3,2,10.0,Relatively New,1995.19,1778.0,1599.95,0,1,0,0,0,1,35,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,piedmont taksila heights,sector 37c,1.05,4792.0,3,3,3,7.0,Relatively New,1919.96,1738.0,1564.0,0,0,0,0,0,1,81,"28.4515° N, 76.9882° E",28.4515,76.9882
flat,godrej,sector 79,1.34,8524.0,3,3,3,7.0,Relatively New,1571.96,1423.0,1281.0,0,0,0,0,0,0,158,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,m3m heights,sector 65,2.0,13957.0,2,2,2,32.0,Relatively New,1424.76,1433.0,999.97,0,0,0,0,0,0,48,"28.4030° N, 77.0690° E",28.403,77.069
house,independent,sector 11,2.1,17284.0,6,6,3+,3.0,Relatively New,1343.0,1215.03,1094.0,0,0,0,0,0,0,14,"28.4531° N, 77.0202° E",28.4531,77.0202
flat,prime habitat,sector 99a,0.32,4657.0,2,2,1,7.0,Relatively New,686.95,600.95,447.99,0,0,0,0,0,0,44,"28.4561° N, 76.9542° E",28.4561,76.9542
house,independent,sector 57,3.6,20833.0,4,4,2,2.0,Old Property,1909.0,1728.04,1555.0,1,1,1,1,0,0,110,"28.4232° N, 77.0752° E",28.4232,77.0752
flat,sare homes,sector 92,0.5,4237.0,3,3,2,1.0,Relatively New,1180.05,1068.0,961.0,0,0,0,0,0,0,26,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,hsiidc sidco shivalik apartments,manesar,0.73,3560.0,3,3,3+,2.0,Moderately Old,2049.98,1705.0,1399.95,0,1,0,0,0,0,80,"28.3515° N, 76.9428° E",28.3515,76.9428
flat,signature signum 95a,sector 95,0.4,7782.0,2,2,2,3.0,New Property,640.85,571.0,513.98,0,0,0,0,0,0,44,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,palam vihar society,sector 2,3.35,7444.0,4,4,3+,2.0,New Property,5611.2,5000.0,4499.96,1,0,0,0,0,0,66,"28.5095° N, 77.0320° E",28.5095,77.032
flat,sidhartha ncr one,sector 95,0.57,4179.0,2,2,2,10.0,New Property,1533.55,1364.0,1232.04,0,0,0,0,0,0,0,"28.4172° N, 76.9081° E",28.4172,76.9081
flat,m3m merlin,sector 67,3.4,14418.0,3,4,3,17.0,Relatively New,2358.05,2134.0,1921.0,0,1,0,0,0,1,174,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,paras dews,sector 106,0.95,6859.0,2,2,3+,2.0,Relatively New,1384.99,940.01,844.97,0,0,0,0,0,0,49,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,shapoorji pallonji joyville gurugram,sector 102,1.4,11666.0,2,2,3,0.0,Relatively New,1367.98,1286.0,1199.96,0,0,0,0,0,0,80,"28.4750° N, 76.9715° E",28.475,76.9715
flat,central park flower valley cerise floors,sector 33,1.3,10743.0,2,2,2,3.0,New Property,1209.97,1095.0,986.0,1,0,0,0,0,0,22,"28.4420° N, 77.0207° E",28.442,77.0207
flat,essel tower,sector 28,2.2,12500.0,3,4,3+,3.0,Moderately Old,2194.86,1956.0,1760.01,0,1,0,0,0,2,0,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,dlf the ultima,sector 81,2.25,10553.0,3,3,3+,15.0,Relatively New,2132.01,1929.0,1736.0,0,1,0,0,0,2,165,"28.3867° N, 76.9485° E",28.3867,76.9485
house,independent,sector 25,10.5,29022.0,5,5,3,3.0,Moderately Old,3998.0,3617.96,3256.0,1,1,0,1,0,0,42,"28.4844° N, 77.0860° E",28.4844,77.086
flat,tulip violet,sector 69,1.4,8928.0,3,3,1,12.0,Relatively New,1567.98,1419.0,1277.0,0,0,0,0,0,0,157,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,orris aster court,sector 85,0.9,5671.0,3,3,3,8.0,Relatively New,1587.03,1436.0,1292.0,0,0,0,0,0,0,49,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,shree vardhman flora,sector 90,1.0,5128.0,3,4,3,8.0,New Property,1949.99,1765.0,1588.0,0,1,0,0,0,0,95,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,dlf the arbour,sector 63,7.52,19000.0,4,4,3,15.0,New Property,3578.39,3955.95,2200.03,0,0,0,0,0,0,61,"28.3971° N, 77.0867° E",28.3971,77.0867
house,independent,sector 14,6.46,18889.0,5,5,2,3.0,Moderately Old,3598.8,3420.01,2700.02,1,1,0,1,0,1,27,"28.4711° N, 77.0454° E",28.4711,77.0454
house,independent,sector 11,0.95,7308.0,5,3,0,1.0,Moderately Old,1436.0,1299.96,1170.0,0,0,0,0,0,0,0,"28.4531° N, 77.0202° E",28.4531,77.0202
